,Name,Pclass,Cabin,Age
502,"O'Sullivan, Miss. Bridget Mary",3,,
503,"Laitinen, Miss. Kristina Sofia",3,,37.0
504,"Maioni, Miss. Roberta",1,B79,16.0
505,"Penasco y Castellana, Mr. Victor de Satode",1,C65,18.0
506,"Quick, Mrs. Frederick Charles (Jane Richards)",2,,33.0
507,"Bradley, Mr. George (""George Arthur Brayton"")",1,,
508,"Olsen, Mr. Henry Margido",3,,28.0
509,"Lang, Mr. Fang",3,,26.0
510,"Daly, Mr. Eugene Patrick",3,,29.0
511,"Webber, Mr. James",3,,
512,"McGough, Mr. James Robert",1,E25,36.0
513,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",1,,54.0
514,"Coleff, Mr. Satio",3,,24.0
515,"Walker, Mr. William Anderson",1,D46,47.0
516,"Lemore, Mrs. (Amelia Milley)",2,F33,34.0
517,"Ryan, Mr. Patrick",3,,
518,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",2,,36.0
519,"Pavlovic, Mr. Stefo",3,,32.0
520,"Perreault, Miss. Anne",1,B73,30.0
521,"Vovk, Mr. Janko",3,,22.0
522,"Lahoud, Mr. Sarkis",3,,
523,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",1,B18,44.0
524,"Kassem, Mr. Fared",3,,
525,"Farrell, Mr. James",3,,40.5
526,"Ridsdale, Miss. Lucy",2,,50.0
527,"Farthing, Mr. John",1,C95,
528,"Salonen, Mr. Johan Werner",3,,39.0
529,"Hocking, Mr. Richard George",2,,23.0
530,"Quick, Miss. Phyllis May",2,,2.0
531,"Toufik, Mr. Nakli",3,,
532,"Elias, Mr. Joseph Jr",3,,17.0
533,"Peter, Mrs. Catherine (Catherine Rizk)",3,,
534,"Cacic, Miss. Marija",3,,30.0
535,"Hart, Miss. Eva Miriam",2,,7.0
536,"Butt, Major. Archibald Willingham",1,B38,45.0
537,"LeRoy, Miss. Bertha",1,,30.0
538,"Risien, Mr. Samuel Beard",3,,
539,"Frolicher, Miss. Hedwig Margaritha",1,B39,22.0
540,"Crosby, Miss. Harriet R",1,B22,36.0
541,"Andersson, Miss. Ingeborg Constanzia",3,,9.0
542,"Andersson, Miss. Sigrid Elisabeth",3,,11.0
543,"Beane, Mr. Edward",2,,32.0
544,"Douglas, Mr. Walter Donald",1,C86,50.0
545,"Nicholson, Mr. Arthur Ernest",1,,64.0
546,"Beane, Mrs. Edward (Ethel Clarke)",2,,19.0
547,"Padro y Manent, Mr. Julian",2,,
548,"Goldsmith, Mr. Frank John",3,,33.0
549,"Davies, Master. John Morgan Jr",2,,8.0
550,"Thayer, Mr. John Borland Jr",1,C70,17.0
551,"Sharp, Mr. Percival James R",2,,27.0
552,"O'Brien, Mr. Timothy",3,,
553,"Leeni, Mr. Fahim (""Philip Zenni"")",3,,22.0
554,"Ohman, Miss. Velin",3,,22.0
555,"Wright, Mr. George",1,,62.0
556,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",1,A16,48.0
557,"Robbins, Mr. Victor",1,,
558,"Taussig, Mrs. Emil (Tillie Mandelbaum)",1,E67,39.0
559,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",3,,36.0
560,"Morrow, Mr. Thomas Rowan",3,,
561,"Sivic, Mr. Husein",3,,40.0
562,"Norman, Mr. Robert Douglas",2,,28.0
563,"Simmons, Mr. John",3,,
564,"Meanwell, Miss. (Marion Ogden)",3,,
565,"Davies, Mr. Alfred J",3,,24.0
566,"Stoytcheff, Mr. Ilia",3,,19.0
567,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",3,,29.0
568,"Doharr, Mr. Tannous",3,,
569,"Jonsson, Mr. Carl",3,,32.0
570,"Harris, Mr. George",2,,62.0
571,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",1,C101,53.0
572,"Flynn, Mr. John Irwin (""Irving"")",1,E25,36.0
573,"Kelly, Miss. Mary",3,,
574,"Rush, Mr. Alfred George John",3,,16.0
575,"Patchett, Mr. George",3,,19.0
576,"Garside, Miss. Ethel",2,,34.0
577,"Silvey, Mrs. William Baird (Alice Munger)",1,E44,39.0
578,"Caram, Mrs. Joseph (Maria Elias)",3,,
579,"Jussila, Mr. Eiriik",3,,32.0
580,"Christy, Miss. Julie Rachel",2,,25.0
581,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",1,C68,39.0
582,"Downton, Mr. William James",2,,54.0
583,"Ross, Mr. John Hugo",1,A10,36.0
584,"Paulner, Mr. Uscher",3,,
585,"Taussig, Miss. Ruth",1,E68,18.0
586,"Jarvis, Mr. John Denzil",2,,47.0
587,"Frolicher-Stehli, Mr. Maxmillian",1,B41,60.0
588,"Gilinski, Mr. Eliezer",3,,22.0
589,"Murdlin, Mr. Joseph",3,,
590,"Rintamaki, Mr. Matti",3,,35.0
591,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",1,D20,52.0
592,"Elsbury, Mr. William James",3,,47.0
593,"Bourke, Miss. Mary",3,,
594,"Chapman, Mr. John Henry",2,,37.0
595,"Van Impe, Mr. Jean Baptiste",3,,36.0
596,"Leitch, Miss. Jessie Wills",2,,
597,"Johnson, Mr. Alfred",3,,49.0
598,"Boulos, Mr. Hanna",3,,
599,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",1,A20,49.0
600,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",2,,24.0
601,"Slabenoff, Mr. Petco",3,,
602,"Harrington, Mr. Charles H",1,,
603,"Torber, Mr. Ernst William",3,,44.0
604,"Homer, Mr. Harry (""Mr E Haven"")",1,,35.0
605,"Lindell, Mr. Edvard Bengtsson",3,,36.0
606,"Karaic, Mr. Milan",3,,30.0
607,"Daniel, Mr. Robert Williams",1,,27.0
608,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",2,,22.0
609,"Shutes, Miss. Elizabeth W",1,C125,40.0
610,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",3,,39.0
611,"Jardin, Mr. Jose Neto",3,,
612,"Murphy, Miss. Margaret Jane",3,,
613,"Horgan, Mr. John",3,,
614,"Brocklebank, Mr. William Alfred",3,,35.0
615,"Herman, Miss. Alice",2,,24.0
616,"Danbom, Mr. Ernst Gilbert",3,,34.0
617,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",3,,26.0
618,"Becker, Miss. Marion Louise",2,F4,4.0
619,"Gavey, Mr. Lawrence",2,,26.0
620,"Yasbeck, Mr. Antoni",3,,27.0
621,"Kimball, Mr. Edwin Nelson Jr",1,D19,42.0
622,"Nakid, Mr. Sahid",3,,20.0
623,"Hansen, Mr. Henry Damsgaard",3,,21.0
624,"Bowen, Mr. David John ""Dai""",3,,21.0
625,"Sutton, Mr. Frederick",1,D50,61.0
626,"Kirkland, Rev. Charles Leonard",2,,57.0
627,"Longley, Miss. Gretchen Fiske",1,D9,21.0
628,"Bostandyeff, Mr. Guentcho",3,,26.0
629,"O'Connell, Mr. Patrick D",3,,
630,"Barkworth, Mr. Algernon Henry Wilson",1,A23,80.0
631,"Lundahl, Mr. Johan Svensson",3,,51.0
632,"Stahelin-Maeglin, Dr. Max",1,B50,32.0
633,"Parr, Mr. William Henry Marsh",1,,
634,"Skoog, Miss. Mabel",3,,9.0
635,"Davis, Miss. Mary",2,,28.0
636,"Leinonen, Mr. Antti Gustaf",3,,32.0
637,"Collyer, Mr. Harvey",2,,31.0
638,"Panula, Mrs. Juha (Maria Emilia Ojala)",3,,41.0
639,"Thorneycroft, Mr. Percival",3,,
640,"Jensen, Mr. Hans Peder",3,,20.0
641,"Sagesser, Mlle. Emma",1,B35,24.0
642,"Skoog, Miss. Margit Elizabeth",3,,2.0
643,"Foo, Mr. Choong",3,,
644,"Baclini, Miss. Eugenie",3,,0.75
645,"Harper, Mr. Henry Sleeper",1,D33,48.0
646,"Cor, Mr. Liudevit",3,,19.0
647,"Simonius-Blumer, Col. Oberst Alfons",1,A26,56.0
648,"Willey, Mr. Edward",3,,
649,"Stanley, Miss. Amy Zillah Elsie",3,,23.0
650,"Mitkoff, Mr. Mito",3,,
651,"Doling, Miss. Elsie",2,,18.0
652,"Kalvik, Mr. Johannes Halvorsen",3,,21.0
653,"O'Leary, Miss. Hanora ""Norah""",3,,
654,"Hegarty, Miss. Hanora ""Nora""",3,,18.0
655,"Hickman, Mr. Leonard Mark",2,,24.0
656,"Radeff, Mr. Alexander",3,,
657,"Bourke, Mrs. John (Catherine)",3,,32.0
658,"Eitemiller, Mr. George Floyd",2,,23.0
659,"Newell, Mr. Arthur Webster",1,D48,58.0
660,"Frauenthal, Dr. Henry William",1,,50.0
661,"Badt, Mr. Mohamed",3,,40.0
662,"Colley, Mr. Edward Pomeroy",1,E58,47.0
663,"Coleff, Mr. Peju",3,,36.0
664,"Lindqvist, Mr. Eino William",3,,20.0
665,"Hickman, Mr. Lewis",2,,32.0
666,"Butler, Mr. Reginald Fenton",2,,25.0
667,"Rommetvedt, Mr. Knud Paust",3,,
668,"Cook, Mr. Jacob",3,,43.0
669,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",1,C126,
670,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",2,,40.0
671,"Davidson, Mr. Thornton",1,B71,31.0
672,"Mitchell, Mr. Henry Michael",2,,70.0
673,"Wilhelms, Mr. Charles",2,,31.0
674,"Watson, Mr. Ennis Hastings",2,,
675,"Edvardsson, Mr. Gustaf Hjalmar",3,,18.0
676,"Sawyer, Mr. Frederick Charles",3,,24.5
677,"Turja, Miss. Anna Sofia",3,,18.0
678,"Goodwin, Mrs. Frederick (Augusta Tyler)",3,,43.0
679,"Cardeza, Mr. Thomas Drake Martinez",1,B51 B53 B55,36.0
680,"Peters, Miss. Katie",3,,
681,"Hassab, Mr. Hammad",1,D49,27.0
682,"Olsvigen, Mr. Thor Anderson",3,,20.0
683,"Goodwin, Mr. Charles Edward",3,,14.0
684,"Brown, Mr. Thomas William Solomon",2,,60.0
685,"Laroche, Mr. Joseph Philippe Lemercier",2,,25.0
686,"Panula, Mr. Jaako Arnold",3,,14.0
687,"Dakic, Mr. Branko",3,,19.0
688,"Fischer, Mr. Eberhard Thelander",3,,18.0
689,"Madill, Miss. Georgette Alexandra",1,B5,15.0
690,"Dick, Mr. Albert Adrian",1,B20,31.0
691,"Karun, Miss. Manca",3,,4.0
692,"Lam, Mr. Ali",3,,
693,"Saad, Mr. Khalil",3,,25.0
694,"Weir, Col. John",1,,60.0
695,"Chapman, Mr. Charles Henry",2,,52.0
696,"Kelly, Mr. James",3,,44.0
697,"Mullens, Miss. Katherine ""Katie""",3,,
698,"Thayer, Mr. John Borland",1,C68,49.0
699,"Humblen, Mr. Adolf Mathias Nicolai Olsen",3,F G63,42.0
700,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",1,C62 C64,18.0
701,"Silverthorne, Mr. Spencer Victor",1,E24,35.0
702,"Barbara, Miss. Saiide",3,,18.0
703,"Gallagher, Mr. Martin",3,,25.0
704,"Hansen, Mr. Henrik Juul",3,,26.0
705,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",2,,39.0
706,"Kelly, Mrs. Florence ""Fannie""",2,,45.0
707,"Calderhead, Mr. Edward Pennington",1,E24,42.0
708,"Cleaver, Miss. Alice",1,,22.0
709,"Moubarek, Master. Halim Gonios (""William George"")",3,,
710,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",1,C90,24.0
711,"Klaber, Mr. Herman",1,C124,
712,"Taylor, Mr. Elmer Zebley",1,C126,48.0
713,"Larsson, Mr. August Viktor",3,,29.0
714,"Greenberg, Mr. Samuel",2,,52.0
715,"Soholt, Mr. Peter Andreas Lauritz Andersen",3,F G73,19.0
716,"Endres, Miss. Caroline Louise",1,C45,38.0
717,"Troutt, Miss. Edwina Celia ""Winnie""",2,E101,27.0
718,"McEvoy, Mr. Michael",3,,
719,"Johnson, Mr. Malkolm Joackim",3,,33.0
720,"Harper, Miss. Annie Jessie ""Nina""",2,,6.0
721,"Jensen, Mr. Svend Lauritz",3,,17.0
722,"Gillespie, Mr. William Henry",2,,34.0
723,"Hodges, Mr. Henry Price",2,,50.0
724,"Chambers, Mr. Norman Campbell",1,E8,27.0
725,"Oreskovic, Mr. Luka",3,,20.0
726,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",2,,30.0
727,"Mannion, Miss. Margareth",3,,
728,"Bryhl, Mr. Kurt Arnold Gottfrid",2,,25.0
729,"Ilmakangas, Miss. Pieta Sofia",3,,25.0
730,"Allen, Miss. Elisabeth Walton",1,B5,29.0
731,"Hassan, Mr. Houssein G N",3,,11.0
732,"Knight, Mr. Robert J",2,,
733,"Berriman, Mr. William John",2,,23.0
734,"Troupiansky, Mr. Moses Aaron",2,,23.0
735,"Williams, Mr. Leslie",3,,28.5
736,"Ford, Mrs. Edward (Margaret Ann Watson)",3,,48.0
737,"Lesurer, Mr. Gustave J",1,B101,35.0
738,"Ivanoff, Mr. Kanio",3,,
739,"Nankoff, Mr. Minko",3,,
740,"Hawksford, Mr. Walter James",1,D45,
741,"Cavendish, Mr. Tyrell William",1,C46,36.0
742,"Ryerson, Miss. Susan Parker ""Suzette""",1,B57 B59 B63 B66,21.0
743,"McNamee, Mr. Neal",3,,24.0
744,"Stranden, Mr. Juho",3,,31.0
745,"Crosby, Capt. Edward Gifford",1,B22,70.0
746,"Abbott, Mr. Rossmore Edward",3,,16.0
747,"Sinkkonen, Miss. Anna",2,,30.0
748,"Marvin, Mr. Daniel Warner",1,D30,19.0
749,"Connaghton, Mr. Michael",3,,31.0
750,"Wells, Miss. Joan",2,,4.0
751,"Moor, Master. Meier",3,E121,6.0
752,"Vande Velde, Mr. Johannes Joseph",3,,33.0
753,"Jonkoff, Mr. Lalio",3,,23.0
754,"Herman, Mrs. Samuel (Jane Laver)",2,,48.0
755,"Hamalainen, Master. Viljo",2,,0.67
756,"Carlsson, Mr. August Sigfrid",3,,28.0
757,"Bailey, Mr. Percy Andrew",2,,18.0
758,"Theobald, Mr. Thomas Leonard",3,,34.0
759,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",1,B77,33.0
760,"Garfirth, Mr. John",3,,
761,"Nirva, Mr. Iisakki Antino Aijo",3,,41.0
762,"Barah, Mr. Hanna Assi",3,,20.0
763,"Carter, Mrs. William Ernest (Lucile Polk)",1,B96 B98,36.0
764,"Eklund, Mr. Hans Linus",3,,16.0
765,"Hogeboom, Mrs. John C (Anna Andrews)",1,D11,51.0
766,"Brewe, Dr. Arthur Jackson",1,,
767,"Mangan, Miss. Mary",3,,30.5
768,"Moran, Mr. Daniel J",3,,
769,"Gronnestad, Mr. Daniel Danielsen",3,,32.0
770,"Lievens, Mr. Rene Aime",3,,24.0
771,"Jensen, Mr. Niels Peder",3,,48.0
772,"Mack, Mrs. (Mary)",2,E77,57.0
773,"Elias, Mr. Dibo",3,,
774,"Hocking, Mrs. Elizabeth (Eliza Needs)",2,,54.0
775,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",3,,18.0
776,"Tobin, Mr. Roger",3,F38,
777,"Emanuel, Miss. Virginia Ethel",3,,5.0
778,"Kilgannon, Mr. Thomas J",3,,
779,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",1,B3,43.0
780,"Ayoub, Miss. Banoura",3,,13.0
781,"Dick, Mrs. Albert Adrian (Vera Gillespie)",1,B20,17.0
782,"Long, Mr. Milton Clyde",1,D6,29.0
783,"Johnston, Mr. Andrew G",3,,
784,"Ali, Mr. William",3,,25.0
785,"Harmer, Mr. Abraham (David Lishin)",3,,25.0
786,"Sjoblom, Miss. Anna Sofia",3,,18.0
787,"Rice, Master. George Hugh",3,,8.0
788,"Dean, Master. Bertram Vere",3,,1.0
789,"Guggenheim, Mr. Benjamin",1,B82 B84,46.0
790,"Keane, Mr. Andrew ""Andy""",3,,
791,"Gaskell, Mr. Alfred",2,,16.0
792,"Sage, Miss. Stella Anna",3,,
793,"Hoyt, Mr. William Fisher",1,,
794,"Dantcheff, Mr. Ristiu",3,,25.0
795,"Otter, Mr. Richard",2,,39.0
796,"Leader, Dr. Alice (Farnham)",1,D17,49.0
797,"Osman, Mrs. Mara",3,,31.0
798,"Ibrahim Shawah, Mr. Yousseff",3,,30.0
799,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",3,,30.0
800,"Ponesell, Mr. Martin",2,,34.0
801,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",2,,31.0
802,"Carter, Master. William Thornton II",1,B96 B98,11.0
803,"Thomas, Master. Assad Alexander",3,,0.42
804,"Hedman, Mr. Oskar Arvid",3,,27.0
805,"Johansson, Mr. Karl Johan",3,,31.0
806,"Andrews, Mr. Thomas Jr",1,A36,39.0
807,"Pettersson, Miss. Ellen Natalia",3,,18.0
808,"Meyer, Mr. August",2,,39.0
809,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,E8,33.0
810,"Alexander, Mr. William",3,,26.0
811,"Lester, Mr. James",3,,39.0
812,"Slemen, Mr. Richard James",2,,35.0
813,"Andersson, Miss. Ebba Iris Alfrida",3,,6.0
814,"Tomlin, Mr. Ernest Portage",3,,30.5
815,"Fry, Mr. Richard",1,B102,
816,"Heininen, Miss. Wendla Maria",3,,23.0
817,"Mallet, Mr. Albert",2,,31.0
818,"Holm, Mr. John Fredrik Alexander",3,,43.0
819,"Skoog, Master. Karl Thorsten",3,,10.0
820,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",1,B69,52.0
821,"Lulic, Mr. Nikola",3,,27.0
822,"Reuchlin, Jonkheer. John George",1,,38.0
823,"Moor, Mrs. (Beila)",3,E121,27.0
824,"Panula, Master. Urho Abraham",3,,2.0
825,"Flynn, Mr. John",3,,
826,"Lam, Mr. Len",3,,
827,"Mallet, Master. Andre",2,,1.0
828,"McCormack, Mr. Thomas Joseph",3,,
829,"Stone, Mrs. George Nelson (Martha Evelyn)",1,B28,62.0
830,"Yasbeck, Mrs. Antoni (Selini Alexander)",3,,15.0
831,"Richards, Master. George Sibley",2,,0.83
832,"Saad, Mr. Amin",3,,
833,"Augustsson, Mr. Albert",3,,23.0
834,"Allum, Mr. Owen George",3,,18.0
835,"Compton, Miss. Sara Rebecca",1,E49,39.0
836,"Pasic, Mr. Jakob",3,,21.0
837,"Sirota, Mr. Maurice",3,,
838,"Chip, Mr. Chang",3,,32.0
839,"Marechal, Mr. Pierre",1,C47,
840,"Alhomaki, Mr. Ilmari Rudolf",3,,20.0
841,"Mudd, Mr. Thomas Charles",2,,16.0
842,"Serepeca, Miss. Augusta",1,,30.0
843,"Lemberopolous, Mr. Peter L",3,,34.5
844,"Culumovic, Mr. Jeso",3,,17.0
845,"Abbing, Mr. Anthony",3,,42.0
846,"Sage, Mr. Douglas Bullen",3,,
847,"Markoff, Mr. Marin",3,,35.0
848,"Harper, Rev. John",2,,28.0
849,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",1,C92,
850,"Andersson, Master. Sigvard Harald Elias",3,,4.0
851,"Svensson, Mr. Johan",3,,74.0
852,"Boulos, Miss. Nourelain",3,,9.0
853,"Lines, Miss. Mary Conover",1,D28,16.0
854,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",2,,44.0
855,"Aks, Mrs. Sam (Leah Rosen)",3,,18.0
856,"Wick, Mrs. George Dennick (Mary Hitchcock)",1,,45.0
857,"Daly, Mr. Peter Denis ",1,E17,51.0
858,"Baclini, Mrs. Solomon (Latifa Qurban)",3,,24.0
859,"Razi, Mr. Raihed",3,,
860,"Hansen, Mr. Claus Peter",3,,41.0
861,"Giles, Mr. Frederick Edward",2,,21.0
862,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",1,D17,48.0
863,"Sage, Miss. Dorothy Edith ""Dolly""",3,,
864,"Gill, Mr. John William",2,,24.0
865,"Bystrom, Mrs. (Karolina)",2,,42.0
866,"Duran y More, Miss. Asuncion",2,,27.0
867,"Roebling, Mr. Washington Augustus II",1,A24,31.0
868,"van Melkebeke, Mr. Philemon",3,,
869,"Johnson, Master. Harold Theodor",3,,4.0
870,"Balkic, Mr. Cerin",3,,26.0
871,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",1,D35,47.0
872,"Carlsson, Mr. Frans Olof",1,B51 B53 B55,33.0
873,"Vander Cruyssen, Mr. Victor",3,,47.0
874,"Abelson, Mrs. Samuel (Hannah Wizosky)",2,,28.0
875,"Najib, Miss. Adele Kiamie ""Jane""",3,,15.0
876,"Gustafsson, Mr. Alfred Ossian",3,,20.0
877,"Petroff, Mr. Nedelio",3,,19.0
878,"Laleff, Mr. Kristo",3,,
879,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",1,C50,56.0
880,"Shelley, Mrs. William (Imanita Parrish Hall)",2,,25.0
881,"Markun, Mr. Johann",3,,33.0
882,"Dahlberg, Miss. Gerda Ulrika",3,,22.0
883,"Banfield, Mr. Frederick James",2,,28.0
884,"Sutehall, Mr. Henry Jr",3,,25.0
885,"Rice, Mrs. William (Margaret Norton)",3,,39.0
886,"Montvila, Rev. Juozas",2,,27.0
887,"Graham, Miss. Margaret Edith",1,B42,19.0
888,"Johnston, Miss. Catherine Helen ""Carrie""",3,,
889,"Behr, Mr. Karl Howell",1,C148,26.0
890,"Dooley, Mr. Patrick",3,,32.0
